@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
22,'2019/01/20 14:35:56:337',1,318.510101,438.125824,51.069698,291.565887,436.319092,75.013718,239.559372,437.475189,80.724518,188.431305,440.050171,81.160156,119.140503,444.448853,77.779388,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
23,'2019/01/20 14:35:56:386',1,318.907104,438.067902,51.129261,290.486481,435.500793,75.11586,238.774246,437.015869,80.720703,186.858994,439.295471,81.165207,117.930969,443.668915,77.731628,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
24,'2019/01/20 14:35:56:434',1,324.843567,438.392487,51.572823,288.768097,434.611389,75.634964,235.543533,435.575043,81.008728,182.796127,437.418396,81.277367,115.108429,442.316284,77.548828,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
25,'2019/01/20 14:35:56:484',1,327.497681,437.972717,51.694031,289.623657,434.805756,75.868973,236.14772,435.820831,81.198929,182.541687,437.389191,81.462944,115.091766,442.553345,77.652916,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
26,'2019/01/20 14:35:56:536',1,326.163574,437.609039,51.597973,289.920776,435.00708,75.830673,236.8461,436.133789,81.213913,182.938507,437.567749,81.54702,114.527557,442.307465,77.806808,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
27,'2019/01/20 14:35:56:586',1,324.94046,437.350372,51.516747,289.953003,435.156006,75.771393,237.021301,436.202698,81.204941,183.184311,437.65802,81.572189,114.489716,442.25177,77.87915,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
28,'2019/01/20 14:35:56:635',1,324.355194,437.394958,51.475769,290.248535,435.090912,75.737106,237.146912,436.403259,81.186867,183.4935,437.972992,81.558083,114.31311,442.231903,77.893906,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
29,'2019/01/20 14:35:56:685',1,324.373932,437.547699,51.45752,290.425446,435.293427,75.717651,237.14476,436.496521,81.176834,183.530472,438.003143,81.546509,114.080566,442.104248,77.878387,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
30,'2019/01/20 14:35:56:734',1,324.849701,437.565887,51.462067,290.654968,435.549988,75.74276,237.135468,436.552429,81.205414,183.586456,438.147064,81.555511,113.738739,441.98175,77.874481,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
31,'2019/01/20 14:35:56:784',1,325.096191,437.563843,51.458641,290.857697,435.621552,75.762627,237.254333,436.656311,81.221771,183.770172,438.331421,81.563316,113.247498,441.81543,77.885208,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
32,'2019/01/20 14:35:56:836',1,324.894165,437.367981,51.428589,291.167908,435.770416,75.761688,237.727844,437.001068,81.232224,184.243515,438.717163,81.592819,113.596191,442.26236,77.928009,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
33,'2019/01/20 14:35:56:885',1,323.687531,436.625946,51.359924,290.386353,435.098541,75.725861,237.255508,436.849762,81.186012,183.881729,438.59436,81.570473,113.146057,442.232666,77.93148,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
34,'2019/01/20 14:35:56:934',1,322.629486,436.038361,51.325932,289.998138,434.641052,75.664856,237.079437,436.470795,81.142441,184.043701,438.219147,81.546051,112.988373,441.955139,77.938385,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
35,'2019/01/20 14:35:56:985',1,319.575043,434.477722,51.229298,288.919189,433.530762,75.509262,236.385727,435.732788,81.049446,183.706741,437.96991,81.495407,112.691956,442.072418,77.967598,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
36,'2019/01/20 14:35:57:036',1,317.962311,433.884064,51.181911,287.789337,432.427734,75.391182,235.483276,434.705933,80.945641,183.710663,437.529175,81.360344,112.557159,441.585266,77.912437,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,'2019/01/20 14:35:57:087',1,317.646973,433.911743,51.208916,287.75647,432.439575,75.374725,235.689606,434.785187,80.929764,184.255249,437.659851,81.347069,113.589874,441.775696,77.932709,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,'2019/01/20 14:35:57:136',1,317.358948,434.024658,51.248077,287.324097,432.25592,75.369698,235.377975,434.288361,80.937378,184.256165,437.340729,81.339684,114.3349,441.755707,77.930084,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
39,'2019/01/20 14:35:57:185',1,317.098907,434.522156,51.232517,287.18457,432.144501,75.363907,235.499359,434.139252,80.929146,184.515686,437.197754,81.337296,114.797638,441.780884,77.939018,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
40,'2019/01/20 14:35:57:235',1,316.848663,434.746674,51.204166,287.210388,431.924988,75.353729,235.727142,433.99231,80.92067,184.928589,437.121948,81.334312,115.303284,441.629517,77.974579,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
41,'2019/01/20 14:35:57:287',1,316.275726,434.934296,51.107296,287.14624,431.681,75.273529,236.107422,433.693176,80.851479,185.65387,437.038239,81.271492,116.444061,441.83139,77.940666,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
42,'2019/01/20 14:35:57:338',1,315.668304,435.03421,51.051857,287.079681,431.383453,75.201607,236.332214,433.469727,80.789215,186.211609,436.888794,81.2202,117.262177,441.752472,77.930428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
43,'2019/01/20 14:36:02:617',2,352.1745,162.577393,77.952354,242.255463,143.844727,100.327332,196.655777,150.953857,103.769463,156.958679,164.741913,102.829269,110.632202,198.470337,98.761147,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
44,'2019/01/20 14:36:02:671',2,347.214752,154.175232,77.29493,243.825867,142.984894,100.259476,198.878174,150.600037,103.747589,157.664612,163.948853,102.726517,110.575897,199.679108,98.753769,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,'2019/01/20 14:36:02:722',2,342.187073,149.646484,77.355804,243.581299,142.096375,100.201447,198.000473,149.587616,103.644722,157.450897,163.923981,102.669266,110.073975,200.968201,98.71492,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,'2019/01/20 14:36:02:776',2,317.007263,134.088104,77.140244,242.836349,141.26355,100.107971,196.573883,148.868011,103.526764,156.059769,163.42572,102.5159,108.740906,201.602966,98.602654,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,'2019/01/20 14:36:02:829',2,295.327698,125.112518,77.297974,242.45369,142.214294,99.995651,196.132111,150.020782,103.340057,155.00209,164.405579,102.203461,106.461823,202.785889,98.080673,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,'2019/01/20 14:36:02:883',2,285.846771,122.414001,77.292763,243.380981,142.468323,99.937843,197.296051,150.577637,103.299454,156.434891,164.769928,102.129105,106.817261,203.713287,97.991699,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,'2019/01/20 14:36:02:936',2,280.751709,121.362457,77.252319,242.946945,142.797211,99.800568,198.246902,151.292938,103.123596,156.018524,165.226379,101.845779,106.115631,204.706573,97.635307,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,'2019/01/20 14:36:02:988',2,277.321686,120.770935,77.131821,243.510437,143.369446,99.652748,199.853729,152.405182,102.994682,155.195923,165.772827,101.601631,105.100769,205.594269,97.321457,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,'2019/01/20 14:36:03:037',2,273.59024,121.805389,76.551048,243.969681,143.431824,99.463478,199.486465,152.29953,102.872345,155.351044,165.679871,101.53653,104.643463,206.280945,97.486649,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,'2019/01/20 14:36:03:091',2,273.423126,121.176422,76.247269,245.924622,144.267426,99.440094,200.443588,152.640778,102.856857,155.697922,165.190735,101.494522,102.053589,204.995575,97.36911,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,'2019/01/20 14:36:03:144',2,274.700867,120.760071,76.600067,246.464111,144.719269,99.671669,201.444031,153.484436,103.073059,155.770782,165.53479,101.611549,101.487366,204.955536,97.326279,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,'2019/01/20 14:36:03:194',2,279.26947,120.537659,77.061569,244.99968,144.6521,99.937149,199.333832,153.36676,103.151276,152.849106,165.061157,101.471054,98.367371,203.993378,96.879303,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
55,'2019/01/20 14:36:03:245',2,277.232574,122.447205,76.581108,243.466766,144.085724,99.712982,196.736115,152.759827,102.88253,150.431351,165.454163,101.189499,98.425415,205.6987,96.792694,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
56,'2019/01/20 14:36:03:297',2,274.092834,120.452911,76.330421,246.547699,145.831757,99.589478,198.480087,153.781189,102.784027,150.097702,165.423737,101.085266,94.410004,204.102173,96.453255,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
57,'2019/01/20 14:36:03:350',2,280.409485,120.414124,76.866211,253.15065,148.658722,99.910217,204.538498,155.32666,103.219696,157.486145,166.059875,101.756683,95.609192,197.030518,96.918488,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
58,'2019/01/20 14:36:03:404',2,289.672058,123.753815,77.624023,254.977646,146.262451,100.5849,208.451569,153.650909,104.240021,164.592606,165.04361,103.106079,97.888,189.389648,98.336555,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
59,'2019/01/20 14:36:03:453',2,302.691589,124.160126,79.358635,258.127472,146.406647,101.883911,209.364426,153.094574,105.522598,167.403381,164.132935,104.365997,97.445618,181.659943,99.199295,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
60,'2019/01/20 14:36:03:502',2,304.805542,123.187103,79.920898,259.004517,146.398987,102.228073,208.679962,152.773285,105.864304,168.306229,165.130096,104.792999,99.452332,180.312531,99.545486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
61,'2019/01/20 14:36:03:554',2,303.336517,122.422455,79.991455,258.70575,145.719635,102.27597,207.632935,151.960846,105.911758,168.101364,165.626129,104.943787,101.399139,180.748871,99.726624,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
62,'2019/01/20 14:36:03:605',2,300.221039,121.526581,80.035881,257.221771,144.431732,102.349518,206.56366,151.230469,106.009171,167.371017,165.676147,105.1091,103.085754,182.067841,99.965973,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
63,'2019/01/20 14:36:03:661',2,303.697845,122.770721,80.230896,256.790283,144.238312,102.464371,205.640289,150.797241,106.053696,166.098831,165.0513,105.105759,102.379486,180.961426,99.857712,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
64,'2019/01/20 14:36:03:710',2,305.856995,123.56012,80.371536,256.194672,143.997223,102.513672,204.682999,150.671234,106.05275,165.026901,164.897217,105.054596,102.208557,180.477753,99.703644,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
65,'2019/01/20 14:36:03:759',2,305.784058,124.805023,80.927208,253.665939,143.131439,102.480988,203.040924,150.374268,105.92746,162.549179,164.398499,104.808273,101.647888,180.14389,99.292679,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
66,'2019/01/20 14:36:03:810',2,303.54071,125.598267,80.753586,253.95961,142.841522,102.290535,205.183136,150.647522,105.903381,163.334412,163.876801,104.81218,101.759399,179.153534,99.414246,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
67,'2019/01/20 14:36:03:860',2,301.378784,124.007233,80.914337,256.532288,144.479248,102.353683,207.567902,152.384583,106.02034,166.109802,165.576324,104.949409,103.82608,179.847107,99.615021,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
